productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2
121212,Hydreigon,Hydreigon,https://tcgplayer-cdn.tcgplayer.com/product/121212_200w.jpg,3,1815,https://cpt.tcgcsv.com/gv-,2025-02-05T21:22:05.287,1,0.15,0.46,5.0,0.44,,Holofoil,86/114,Holo Rare,Dragon,150,Stage 2,,"[2] Cruel Fang (40)
<br>During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 40 <i>(before applying Weakness and Resistance)</i>.",Yx2,None,3,"[1PD] Dark Burn (50x)
<br>Discard as many Darkness Energy attached to your Pokemon as you like. This attack does 50 damage times the amount of Darkness Energy you discarded this way."
121212,Hydreigon,Hydreigon,https://tcgplayer-cdn.tcgplayer.com/product/121212_200w.jpg,3,1815,https://cpt.tcgcsv.com/gv-,2025-02-05T21:22:05.287,1,0.2,0.55,2.99,0.56,,Reverse Holofoil,86/114,Holo Rare,Dragon,150,Stage 2,,"[2] Cruel Fang (40)
<br>During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 40 <i>(before applying Weakness and Resistance)</i>.",Yx2,None,3,"[1PD] Dark Burn (50x)
<br>Discard as many Darkness Energy attached to your Pokemon as you like. This attack does 50 damage times the amount of Darkness Energy you discarded this way."
121213,Hydreigon BREAK,Hydreigon BREAK,https://tcgplayer-cdn.tcgplayer.com/product/121213_200w.jpg,3,1815,https://cpt.tcgcsv.com/hv-,2026-02-17T22:52:00.96,1,2.48,4.92,18.95,4.92,,Holofoil,87/114,Rare BREAK,Dragon,190,BREAK Evolution,"<em>Hydreigon BREAK retains the attacks, Abilities, Weakness, Resistance, and Retreat Cost of its previous Evolution.</em>","[1PDD] Calamity Blast (150)
<br>Discard 3 Energy attached to this Pokemon. This attack does 50 damage to 2 of your opponent's Benched Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",None,None,0,
121214,Meowth,Meowth,https://tcgplayer-cdn.tcgplayer.com/product/121214_200w.jpg,3,1815,https://cpt.tcgcsv.com/jv-,2025-02-05T21:22:05.333,1,0.02,0.24,5.05,0.24,0.09,Normal,88/114,Common,Colorless,60,Basic,,"[1] Stall
<br>You can use this attack only if you go second, and only on your first turn. Discard an Energy attached to 1 of your opponent's Pokemon.",Fx2,None,1,[2] Scratch (20)
121214,Meowth,Meowth,https://tcgplayer-cdn.tcgplayer.com/product/121214_200w.jpg,3,1815,https://cpt.tcgcsv.com/jv-,2025-02-05T21:22:05.333,1,0.2,0.47,4.0,0.5,,Reverse Holofoil,88/114,Common,Colorless,60,Basic,,"[1] Stall
<br>You can use this attack only if you go second, and only on your first turn. Discard an Energy attached to 1 of your opponent's Pokemon.",Fx2,None,1,[2] Scratch (20)
121215,Persian,Persian,https://tcgplayer-cdn.tcgplayer.com/product/121215_200w.jpg,3,1815,https://cpt.tcgcsv.com/kv-,2025-11-20T21:11:33.933,1,0.01,0.2,19.5,0.21,0.15,Normal,89/114,Uncommon,Colorless,90,Stage 1,,"[1] Raid (30+)
<br>If this Pokemon evolved from Meowth during this turn, this attack does 30 more damage.",Fx2,None,1,"[2] Fury Swipes (30x)
<br>Flip 3 coins. This attack does 30 damage times the number of heads."
121215,Persian,Persian,https://tcgplayer-cdn.tcgplayer.com/product/121215_200w.jpg,3,1815,https://cpt.tcgcsv.com/kv-,2025-11-20T21:11:33.933,1,0.27,0.5,4.95,0.5,,Reverse Holofoil,89/114,Uncommon,Colorless,90,Stage 1,,"[1] Raid (30+)
<br>If this Pokemon evolved from Meowth during this turn, this attack does 30 more damage.",Fx2,None,1,"[2] Fury Swipes (30x)
<br>Flip 3 coins. This attack does 30 damage times the number of heads."
121216,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/121216_200w.jpg,3,1815,https://cpt.tcgcsv.com/lv-,2025-02-05T21:22:05.39,1,0.01,0.17,5.0,0.16,,Normal,90/114,Common,Colorless,60,Basic,,"[1] Fiddle Around
<br>Look at the top 3 cards of your opponent's deck and put them back in any order.",Fx2,None,1,[2] Tail Jab (20)
121216,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/121216_200w.jpg,3,1815,https://cpt.tcgcsv.com/lv-,2025-02-05T21:22:05.39,1,0.25,0.47,5.0,0.44,0.4,Reverse Holofoil,90/114,Common,Colorless,60,Basic,,"[1] Fiddle Around
<br>Look at the top 3 cards of your opponent's deck and put them back in any order.",Fx2,None,1,[2] Tail Jab (20)
121217,Ambipom,Ambipom,https://tcgplayer-cdn.tcgplayer.com/product/121217_200w.jpg,3,1815,https://cpt.tcgcsv.com/mv-,2025-02-05T21:22:05.447,1,0.02,0.17,5.02,0.16,,Normal,91/114,Uncommon,Colorless,90,Stage 1,,"[1] Furry Chance (20x)
<br>Discard the top card of your opponent's deck. If that card is an Energy card, this attack does 60 more damage.",Fx2,None,1,"[3] Double Hit (50x)
<br>Flip 2 coins. This attack does 50 damage times the number of heads."
