productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardType,extCardText
86484,Klink,Klink,https://tcgplayer-cdn.tcgplayer.com/product/86484_200w.jpg,3,1413,https://cpt.tcgcsv.com/JCJ,2025-11-11T22:34:25.753,1,88/135,Common,60,Basic,"[1] Rigidify - During your opponent's next turn, any damage done to this Pokemon by attacks is reduced by 20 (after applying Weakness and Resistance).",[1M] Vice Grip (20),Rx2,P-20,2,0.01,0.25,1.87,0.18,0.14,Normal,,
86484,Klink,Klink,https://tcgplayer-cdn.tcgplayer.com/product/86484_200w.jpg,3,1413,https://cpt.tcgcsv.com/JCJ,2025-11-11T22:34:25.753,1,88/135,Common,60,Basic,"[1] Rigidify - During your opponent's next turn, any damage done to this Pokemon by attacks is reduced by 20 (after applying Weakness and Resistance).",[1M] Vice Grip (20),Rx2,P-20,2,0.25,0.58,2.0,0.55,0.38,Reverse Holofoil,,
86488,Klinklang (Team Plasma),Klinklang Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/86488_200w.jpg,3,1413,https://cpt.tcgcsv.com/NCJ,2026-03-05T15:20:34.437,1,90/135,Holo Rare,140,Stage 2,"[1MM] Heavy Bullet (70) Flip a coin.  If heads, this attack does 20 damage to 1 of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.)",,Rx2,P-20,3,0.97,1.45,3.0,1.38,,Holofoil,,Plasma Steel - Prevent all damage done to your M Pokemon by attacks from your opponent's Pokemon-EX.  (Ability)
86488,Klinklang (Team Plasma),Klinklang Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/86488_200w.jpg,3,1413,https://cpt.tcgcsv.com/NCJ,2026-03-05T15:20:34.437,1,90/135,Holo Rare,140,Stage 2,"[1MM] Heavy Bullet (70) Flip a coin.  If heads, this attack does 20 damage to 1 of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.)",,Rx2,P-20,3,1.49,1.97,6.0,2.09,,Reverse Holofoil,,Plasma Steel - Prevent all damage done to your M Pokemon by attacks from your opponent's Pokemon-EX.  (Ability)
86500,Koffing (56),Koffing 56,https://tcgplayer-cdn.tcgplayer.com/product/86500_200w.jpg,3,1413,https://cpt.tcgcsv.com/0DJ,2023-01-10T17:05:21.667,1,56/135,Common,70,Basic,[P] Tackle (10),[2] Double Spin (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,Px2,,2,0.09,0.25,1.87,0.32,,Normal,,
86500,Koffing (56),Koffing 56,https://tcgplayer-cdn.tcgplayer.com/product/86500_200w.jpg,3,1413,https://cpt.tcgcsv.com/0DJ,2023-01-10T17:05:21.667,1,56/135,Common,70,Basic,[P] Tackle (10),[2] Double Spin (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,Px2,,2,0.4,0.75,4.19,0.81,,Reverse Holofoil,,
86501,Koffing (57),Koffing 57,https://tcgplayer-cdn.tcgplayer.com/product/86501_200w.jpg,3,1413,https://cpt.tcgcsv.com/2DJ,2023-01-10T17:05:28.983,1,57/135,Uncommon,60,Basic,"[1P] Smokescreen (20) If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin.  If tails, that attack does nothing.",,Px2,,1,0.24,0.5,5.0,0.6,,Normal,,
86501,Koffing (57),Koffing 57,https://tcgplayer-cdn.tcgplayer.com/product/86501_200w.jpg,3,1413,https://cpt.tcgcsv.com/2DJ,2023-01-10T17:05:28.983,1,57/135,Uncommon,60,Basic,"[1P] Smokescreen (20) If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin.  If tails, that attack does nothing.",,Px2,,1,3.5,4.48,8.0,4.96,,Reverse Holofoil,,
86589,Lampent,Lampent,https://tcgplayer-cdn.tcgplayer.com/product/86589_200w.jpg,3,1413,https://cpt.tcgcsv.com/PFJ,2025-12-04T22:40:50.613,1,22/135,Uncommon,70,Stage 1,[1R] Will-O-Wisp (20),,Wx2,,1,0.07,0.25,5.0,0.22,0.2,Normal,,"Freefloating - If this Pokemon has no Energy attached to it, this Pokemon has no Retreat Cost.  (Ability)"
86589,Lampent,Lampent,https://tcgplayer-cdn.tcgplayer.com/product/86589_200w.jpg,3,1413,https://cpt.tcgcsv.com/PFJ,2025-12-04T22:40:50.613,1,22/135,Uncommon,70,Stage 1,[1R] Will-O-Wisp (20),,Wx2,,1,0.55,0.59,4.0,0.55,,Reverse Holofoil,,"Freefloating - If this Pokemon has no Energy attached to it, this Pokemon has no Retreat Cost.  (Ability)"
