productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extCardText
152868,Pikachu (#14),Pikachu 14,https://tcgplayer-cdn.tcgplayer.com/product/152868_200w.jpg,3,2069,https://cpt.tcgcsv.com/n9f2,2023-07-13T12:53:19.127,1,0.32,0.65,4.99,0.67,,Normal,14/30,Common,Lightning,60,Basic,[1] Tail Whap (10),"[1L] Spark (20)
<br>This attack does 10 damage to 1 of your opponent's Benched Pokemon. <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em>",Fx2,M-20,1,
152869,Pikachu (#29),Pikachu 29,https://tcgplayer-cdn.tcgplayer.com/product/152869_200w.jpg,3,2069,https://cpt.tcgcsv.com/p9f2,2022-12-14T15:30:12.04,0,0.25,0.63,5.39,0.62,,Normal,29/30,Common,Lightning,60,Basic,[1] Tail Whap (10),"[1L] Spark (20)
<br>This attack does 10 damage to 1 of your opponent's Benched Pokemon. <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em>",Fx2,M-20,1,
152870,Potion,Potion,https://tcgplayer-cdn.tcgplayer.com/product/152870_200w.jpg,3,2069,https://cpt.tcgcsv.com/q9f2,2022-12-14T15:26:31.81,0,0.01,0.2,4.0,0.12,,Normal,15/30,Common,Item,,,,,,,,Heal 30 damage from 1 of your Pokemon.
152871,Grubbin,Grubbin,https://tcgplayer-cdn.tcgplayer.com/product/152871_200w.jpg,3,2069,https://cpt.tcgcsv.com/r9f2,2022-12-14T15:26:37.63,0,0.01,0.25,4.0,0.25,,Normal,16/30,Common,Grass,70,Basic,[2] Vice Grip (20),,Rx2,None,2,
152872,Alolan Raichu (#17 Non-Holo),Alolan Raichu 17 Non Holo,https://tcgplayer-cdn.tcgplayer.com/product/152872_200w.jpg,3,2069,https://cpt.tcgcsv.com/s9f2,2022-12-14T15:26:50.003,0,0.1,0.24,4.0,0.21,,Normal,17/30,Uncommon,Lightning,110,Stage 1,"[L] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 30 more damage.",[2L] Electric Surfer (70),Fx2,M-20,1,
152873,Alolan Raichu (#30 Holofoil),Alolan Raichu 30 Holofoil,https://tcgplayer-cdn.tcgplayer.com/product/152873_200w.jpg,3,2069,https://cpt.tcgcsv.com/t9f2,2022-12-14T15:30:24.057,1,1.0,1.99,9.99,2.61,,Holofoil,30/30,Uncommon,Lightning,110,Stage 1,"[L] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 30 more damage.",[2L] Electric Surfer (70),Fx2,M-20,1,
152874,Bewear,Bewear,https://tcgplayer-cdn.tcgplayer.com/product/152874_200w.jpg,3,2069,https://cpt.tcgcsv.com/v9f2,2022-12-14T15:27:01.16,0,0.03,0.2,4.0,0.19,,Normal,18/30,Uncommon,Colorless,130,Stage 1,"[2] Bear Hug (40)
<br>The Defending Pokemon can't retreat during your opponent's next turn.","[3] Superpower (80+)
<br>You may do 40 more damage. If you do, this Pokemon does 20 damage to itself.",Fx2,None,3,
152875,Drowzee,Drowzee,https://tcgplayer-cdn.tcgplayer.com/product/152875_200w.jpg,3,2069,https://cpt.tcgcsv.com/w9f2,2025-08-04T16:53:57.113,1,0.04,0.2,4.0,0.1,,Normal,22/30,Common,Psychic,70,Basic,"[P] Psychic Boom (10x)
<br>This attack does 10 damage times the amount of Energy attached to your opponent's Active Pokemon.",[2] Headbutt (20),Px2,None,2,
152877,Togedemaru,Togedemaru,https://tcgplayer-cdn.tcgplayer.com/product/152877_200w.jpg,3,2069,https://cpt.tcgcsv.com/z9f2,2022-12-14T15:29:33.043,0,0.02,0.19,1.49,0.16,,Normal,26/30,Common,Lightning,70,Basic,"[1] Defense Curl
<br>Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn.","[L] Discharge (30x)
<br>Discard all Lightning Energy from this Pokemon. This attack does 30 damage for each card you discarded this way.",Fx2,M-20,1,
192937,Lightning Energy (#12),Lightning Energy 12,https://tcgplayer-cdn.tcgplayer.com/product/192937_200w.jpg,3,2069,https://cpt.tcgcsv.com/Mbz2,2022-12-14T15:25:53.64,0,0.01,0.2,0.4,0.06,,Normal,12/30,Common,Basic Lightning Energy,,,,,,,,
