productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,extResistance,extAttack3,extUPC
85720,Giovanni's Nidoran F,Giovannis Nidoran F,https://tcgplayer-cdn.tcgplayer.com/product/85720_200w.jpg,3,1440,https://cpt.tcgcsv.com/qjJ,2025-11-29T03:14:58.66,1,075/132,Common,Grass,,0.25,0.92,96.95,0.97,0.5,Unlimited,50,Basic,"[G] Horn Thrust (20)
<br>Flip a coin. If tails, this attack does nothing.","[2] Double-edge (30)
<br>Giovanni's Nidoran F does 20 damage to itself.",P,1,,,
85721,Giovanni's Nidoran M,Giovannis Nidoran M,https://tcgplayer-cdn.tcgplayer.com/product/85721_200w.jpg,3,1440,https://cpt.tcgcsv.com/rjJ,2022-11-19T16:00:56.247,1,076/132,Common,Grass,,2.07,3.21,29.99,3.38,,1st Edition,40,Basic,"[1] Double Kick (10x)
<br>Flip 2 coins. This attack does 10 damage times the number of heads.","[G] Retaliation (30)
<br>You can't use this attack unless Giovanni's Nidoran M has 2 or more damage counters on it.",P,1,,,
85721,Giovanni's Nidoran M,Giovannis Nidoran M,https://tcgplayer-cdn.tcgplayer.com/product/85721_200w.jpg,3,1440,https://cpt.tcgcsv.com/rjJ,2022-11-19T16:00:56.247,1,076/132,Common,Grass,,0.3,1.0,9.99,1.14,,Unlimited,40,Basic,"[1] Double Kick (10x)
<br>Flip 2 coins. This attack does 10 damage times the number of heads.","[G] Retaliation (30)
<br>You can't use this attack unless Giovanni's Nidoran M has 2 or more damage counters on it.",P,1,,,
85722,Giovanni's Nidorina,Giovannis Nidorina,https://tcgplayer-cdn.tcgplayer.com/product/85722_200w.jpg,3,1440,https://cpt.tcgcsv.com/sjJ,2023-06-05T09:33:16.413,1,044/132,Uncommon,Grass,,2.66,4.37,11.99,4.37,,1st Edition,80,Stage 1,"[1G] Poison Sting Tackle (30)
<br>Giovanni's Nidorina does 20 damage to itself. Flip a coin. If heads, the Defending Pokémon is now Poisoned.","[2G] Body Slam (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",P,2,,,
85722,Giovanni's Nidorina,Giovannis Nidorina,https://tcgplayer-cdn.tcgplayer.com/product/85722_200w.jpg,3,1440,https://cpt.tcgcsv.com/sjJ,2023-06-05T09:33:16.413,1,044/132,Uncommon,Grass,,0.85,1.77,27325.29,1.95,,Unlimited,80,Stage 1,"[1G] Poison Sting Tackle (30)
<br>Giovanni's Nidorina does 20 damage to itself. Flip a coin. If heads, the Defending Pokémon is now Poisoned.","[2G] Body Slam (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",P,2,,,
85723,Giovanni's Nidorino,Giovannis Nidorino,https://tcgplayer-cdn.tcgplayer.com/product/85723_200w.jpg,3,1440,https://cpt.tcgcsv.com/tjJ,2025-11-20T01:34:14.647,1,045/132,Uncommon,Grass,,4.42,8.5,96.95,8.49,96.95,1st Edition,70,Stage 1,"[2G] Rend (20+)
<br>If the Defending Pokémon already has any damage counters on it, this attack does 20 damage plus 20 more damage. If not, this attack does 20 damage.",,P,2,,,
85723,Giovanni's Nidorino,Giovannis Nidorino,https://tcgplayer-cdn.tcgplayer.com/product/85723_200w.jpg,3,1440,https://cpt.tcgcsv.com/tjJ,2025-11-20T01:34:14.647,1,045/132,Uncommon,Grass,,0.71,1.59,6.99,2.04,,Unlimited,70,Stage 1,"[2G] Rend (20+)
<br>If the Defending Pokémon already has any damage counters on it, this attack does 20 damage plus 20 more damage. If not, this attack does 20 damage.",,P,2,,,
85724,Giovanni's Persian,Giovannis Persian,https://tcgplayer-cdn.tcgplayer.com/product/85724_200w.jpg,3,1440,https://cpt.tcgcsv.com/vjJ,2026-02-28T00:36:25.623,1,008/132,Holo Rare,Colorless,"<strong>Pokémon Power: Call the Boss</strong> When you play Giovanni's Persian from your hand, you may search your deck for the Trainer card named Giovanni, show it to your opponent, and put it into your hand. Shuffle your deck afterward.",84.09,292.04,499.99,119.5,,1st Edition Holofoil,60,Stage 1,"[3] Ambush (20+)
<br>Flip a coin. If heads, this attack does 20 damage plus 20 more damage; if tails, this attack does 20 damage.",,F,,P-30,,
85724,Giovanni's Persian,Giovannis Persian,https://tcgplayer-cdn.tcgplayer.com/product/85724_200w.jpg,3,1440,https://cpt.tcgcsv.com/vjJ,2026-02-28T00:36:25.623,1,008/132,Holo Rare,Colorless,"<strong>Pokémon Power: Call the Boss</strong> When you play Giovanni's Persian from your hand, you may search your deck for the Trainer card named Giovanni, show it to your opponent, and put it into your hand. Shuffle your deck afterward.",27.0,44.99,9999.0,38.2,44.99,Unlimited Holofoil,60,Stage 1,"[3] Ambush (20+)
<br>Flip a coin. If heads, this attack does 20 damage plus 20 more damage; if tails, this attack does 20 damage.",,F,,P-30,,
85725,Giovanni's Pinsir,Giovannis Pinsir,https://tcgplayer-cdn.tcgplayer.com/product/85725_200w.jpg,3,1440,https://cpt.tcgcsv.com/wjJ,2024-12-06T06:43:45.407,1,024/132,Rare,Grass,,16.58,17.22,34.26,20.6,,1st Edition,70,Basic,"[1G] Snapping Pincers (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 10 more damage; if tails, this attack does 10 damage.","[2G] Overhead Toss (40)
<br>If you have any Benched Pokémon, flip a coin. If tails, choose 1 of your Benched Pokémon. This attack does 20 damage to that Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",R,2,,,
