productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
86778,Lightning Energy (#18),Lightning Energy 18,https://tcgplayer-cdn.tcgplayer.com/product/86778_200w.jpg,3,1540,https://cpt.tcgcsv.com/BKJ,2023-12-20T15:57:00.723,1,18/30,Common,Energy,,0.44,0.55,100.0,0.46,,Normal,,,,,,,
86779,Lightning Energy (#23),Lightning Energy 23,https://tcgplayer-cdn.tcgplayer.com/product/86779_200w.jpg,3,1540,https://cpt.tcgcsv.com/CKJ,2023-12-20T18:13:17.47,1,23/30,Common,Basic Energy,,0.56,0.62,100.0,0.59,,Normal,,,,,,,
86780,Lightning Energy (#28),Lightning Energy 28,https://tcgplayer-cdn.tcgplayer.com/product/86780_200w.jpg,3,1540,https://cpt.tcgcsv.com/DKJ,2023-12-20T18:28:43.513,1,28/30,Common,Basic Energy,,0.31,0.49,0.95,0.32,,Normal,,,,,,,
87033,Magikarp (#12),Magikarp 12,https://tcgplayer-cdn.tcgplayer.com/product/87033_200w.jpg,3,1540,https://cpt.tcgcsv.com/HQJ,2023-12-20T15:51:55.25,1,12/30,Common,Water,,1.0,2.99,5.22,4.97,,Normal,30,Basic,[1] Splash (10),,Lx2,None,1
87034,Magikarp (#19),Magikarp 19,https://tcgplayer-cdn.tcgplayer.com/product/87034_200w.jpg,3,1540,https://cpt.tcgcsv.com/JQJ,2023-12-20T15:57:06.46,1,19/30,Common,Water,,1.63,2.31,3.84,3.95,,Normal,30,Basic,[1] Splash (10),,Lx2,None,1
87205,Mareep (#13),Mareep 13,https://tcgplayer-cdn.tcgplayer.com/product/87205_200w.jpg,3,1540,https://cpt.tcgcsv.com/7VJ,2023-12-20T15:52:15.673,1,13/30,Common,Lightning,,0.5,1.07,6.48,1.3,,Normal,40,Basic,"[1] Static Electricity 
<br>Search your deck for a number of L Energy cards up to the number of Mareep in play (both yours and your opponent's) and attach them to Mareep.  Shuffle your deck afterward.",[2] Ram (20),Fx2,M-20,1
87206,Mareep (#20),Mareep 20,https://tcgplayer-cdn.tcgplayer.com/product/87206_200w.jpg,3,1540,https://cpt.tcgcsv.com/8VJ,2023-12-20T15:57:26.48,1,20/30,Common,Lightning,,0.68,2.03,2.25,2.21,,Normal,40,Basic,"[1] Static Electricity
<br>Search your deck for a number of L Energy cards up to the number of Mareep in play (both yours and your opponent's) and attach them to Mareep.  Shuffle your deck afterward.",[2] Ram (20),Fx2,M-20,1
87220,Marill (#15),Marill 15,https://tcgplayer-cdn.tcgplayer.com/product/87220_200w.jpg,3,1540,https://cpt.tcgcsv.com/qVJ,2023-12-20T15:53:05.83,1,15/30,Common,Water,,0.49,0.86,5.0,0.8,,Normal,60,Basic,"[W] Water Splash (10+) 
<br>Flip a coin.  If heads, this attack does 10 damage plus 10 more damage.",[2W] Tail Slap (30),Lx2,None,1
87221,Marill (#24),Marill 24,https://tcgplayer-cdn.tcgplayer.com/product/87221_200w.jpg,3,1540,https://cpt.tcgcsv.com/rVJ,2023-12-20T18:17:08.073,1,24/30,Common,Water,,0.42,0.9,1.22,0.75,,Normal,60,Basic,"[W] Water Splash (10+) 
<Br>Flip a coin.  If heads, this attack does 10 damage plus 10 more damage.",[2W] Tail Slap (30),Lx2,None,1
87323,Meowth (#4),Meowth 4,https://tcgplayer-cdn.tcgplayer.com/product/87323_200w.jpg,3,1540,https://cpt.tcgcsv.com/tXJ,2023-12-20T15:35:27.413,1,4/30,Common,Colorless,,0.45,0.77,1.5,1.46,,Normal,60,Basic,"[1] Pay Day (10) 
<br>Draw a card.",[2] Dig Claws (20),Fx2,None,1
