productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extRetreatCost,extAttack2,extResistance
87311,Meowth,Meowth,https://tcgplayer-cdn.tcgplayer.com/product/87311_200w.jpg,3,1374,https://cpt.tcgcsv.com/fXJ,2022-11-29T19:22:51.303,1,053/110,Uncommon,Colorless,50,Basic,"[2] Pay Day (10)
<br>Flip a coin. If heads, draw a card.",F,89.69,104.85,120.0,74.99,,Reverse Holofoil,,1,,P-30
87387,Metapod,Metapod,https://tcgplayer-cdn.tcgplayer.com/product/87387_200w.jpg,3,1374,https://cpt.tcgcsv.com/MZJ,2022-11-29T19:24:05.69,1,054/110,Uncommon,Grass,70,Stage 1,"[2] Stiffen
<br>Flip a coin. If heads, prevent all damage done to Metapod during your opponent's next turn. <em>(Any other effects of attacks still happen.)</em>",R,0.9,1.2,3.22,1.92,,Normal,,2,"[GG] Stun Spore (20)
<br> Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",
87387,Metapod,Metapod,https://tcgplayer-cdn.tcgplayer.com/product/87387_200w.jpg,3,1374,https://cpt.tcgcsv.com/MZJ,2022-11-29T19:24:05.69,1,054/110,Uncommon,Grass,70,Stage 1,"[2] Stiffen
<br>Flip a coin. If heads, prevent all damage done to Metapod during your opponent's next turn. <em>(Any other effects of attacks still happen.)</em>",R,38.01,49.0,125.0,125.0,,Reverse Holofoil,,2,"[GG] Stun Spore (20)
<br> Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",
87419,Mewtwo,Mewtwo,https://tcgplayer-cdn.tcgplayer.com/product/87419_200w.jpg,3,1374,https://cpt.tcgcsv.com/p-J,2023-02-22T11:19:13.81,1,029/110,Rare,Psychic,60,Basic,"[P] Energy Control
<br>Flip a coin. If heads, choose a basic Energy card attached to 1 of your opponent's Pokémon and attach it to another of your opponent's Pokémon of your choice.",P,49.97,52.47,54.97,40.69,,Normal,,1,"[PPP] Telekinesis
<br>Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",
87419,Mewtwo,Mewtwo,https://tcgplayer-cdn.tcgplayer.com/product/87419_200w.jpg,3,1374,https://cpt.tcgcsv.com/p-J,2023-02-22T11:19:13.81,1,029/110,Rare,Psychic,60,Basic,"[P] Energy Control
<br>Flip a coin. If heads, choose a basic Energy card attached to 1 of your opponent's Pokémon and attach it to another of your opponent's Pokémon of your choice.",P,399.99,498.51,999.99,517.02,,Reverse Holofoil,,1,"[PPP] Telekinesis
<br>Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",
87560,Moltres,Moltres,https://tcgplayer-cdn.tcgplayer.com/product/87560_200w.jpg,3,1374,https://cpt.tcgcsv.com/d2K,2022-11-29T19:30:09.733,1,030/110,Rare,Fire,70,Basic,"[R] Wildfire
<br>You may discard any number of Fire Energy cards attached to Moltres when you use this attack. If you do, discard that many cards from the top of your opponent's deck.",,8.69,12.36,15.0,12.39,,Normal,,2,"[RRRR] Dive Bomb (80)
<br> Flip a coin. If tails, this attack does nothing.",F-30
87560,Moltres,Moltres,https://tcgplayer-cdn.tcgplayer.com/product/87560_200w.jpg,3,1374,https://cpt.tcgcsv.com/d2K,2022-11-29T19:30:09.733,1,030/110,Rare,Fire,70,Basic,"[R] Wildfire
<br>You may discard any number of Fire Energy cards attached to Moltres when you use this attack. If you do, discard that many cards from the top of your opponent's deck.",,97.99,121.78,149.0,220.0,,Reverse Holofoil,,2,"[RRRR] Dive Bomb (80)
<br> Flip a coin. If tails, this attack does nothing.",F-30
87618,Muk,Muk,https://tcgplayer-cdn.tcgplayer.com/product/87618_200w.jpg,3,1374,https://cpt.tcgcsv.com/n3K,2022-11-29T19:31:58.053,1,016/110,Holo Rare,Grass,70,Stage 1,"[GGG] Sludge (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",P,9.99,16.3,29.99,17.37,,Holofoil,<strong>Pokémon Power: Toxic Gas</strong> Ignore all Pokémon Powers other than Toxic Gases. This power stops working while Muk is affected by a Special Condition.,2,,
87618,Muk,Muk,https://tcgplayer-cdn.tcgplayer.com/product/87618_200w.jpg,3,1374,https://cpt.tcgcsv.com/n3K,2022-11-29T19:31:58.053,1,016/110,Holo Rare,Grass,70,Stage 1,"[GGG] Sludge (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",P,55.19,60.17,72.76,87.99,,Reverse Holofoil,<strong>Pokémon Power: Toxic Gas</strong> Ignore all Pokémon Powers other than Toxic Gases. This power stops working while Muk is affected by a Special Condition.,2,,
87668,Mysterious Fossil,Mysterious Fossil,https://tcgplayer-cdn.tcgplayer.com/product/87668_200w.jpg,3,1374,https://cpt.tcgcsv.com/n5K,2022-11-29T19:32:56.753,1,109/110,Common,Trainer,10,,,,0.29,0.7,3.0,0.72,,Normal,"Play Mysterious Fossil as if it were a Basic Pokémon. While in play, Mysterious Fossil counts as a Pokémon (instead of a Trainer card). Mysterious Fossil has no attacks, can't retreat, and can't be affected by Special Conditions. If Mysterious Fossil is Knocked Out, it doesn't count as a Knocked Out Pokémon. <em>(Discard it anyway.)</em> At any time during your turn before your attack, you may discard Mysterious Fossil from play. You can put Pokémon that evolve from Mysterious Fossil on this card",,,
