productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extWeakness,extResistance,extRetreatCost,extCardText
86107,Hitmonlee,Hitmonlee,https://tcgplayer-cdn.tcgplayer.com/product/86107_200w.jpg,3,1403,https://cpt.tcgcsv.com/9sJ,2025-11-11T05:08:32.16,1,52/90,Common,Fighting,80,Basic,[F] Kick (20),0.2,0.39,1.5,0.48,0.33,Normal,[1FF] High Jump Kick (60),Px2,,2,
86107,Hitmonlee,Hitmonlee,https://tcgplayer-cdn.tcgplayer.com/product/86107_200w.jpg,3,1403,https://cpt.tcgcsv.com/9sJ,2025-11-11T05:08:32.16,1,52/90,Common,Fighting,80,Basic,[F] Kick (20),2.0,3.15,11.99,7.87,1.02,Reverse Holofoil,[1FF] High Jump Kick (60),Px2,,2,
86161,Honchkrow (15),Honchkrow 15,https://tcgplayer-cdn.tcgplayer.com/product/86161_200w.jpg,3,1403,https://cpt.tcgcsv.com/ftJ,2023-04-10T13:54:18.687,1,15/90,Rare,Darkness,90,Stage 1,[2] Whirlwind (20) Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.,0.5,0.74,3.43,0.88,,Normal,[DD] Blindside - Choose 1 of your opponent's Pokemon that has any damage counters on it.  This attack does 50 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),Lx2,F-20,2,
86161,Honchkrow (15),Honchkrow 15,https://tcgplayer-cdn.tcgplayer.com/product/86161_200w.jpg,3,1403,https://cpt.tcgcsv.com/ftJ,2023-04-10T13:54:18.687,1,15/90,Rare,Darkness,90,Stage 1,[2] Whirlwind (20) Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.,0.9,3.07,8.8,4.42,,Reverse Holofoil,[DD] Blindside - Choose 1 of your opponent's Pokemon that has any damage counters on it.  This attack does 50 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),Lx2,F-20,2,
86162,Honchkrow (16),Honchkrow 16,https://tcgplayer-cdn.tcgplayer.com/product/86162_200w.jpg,3,1403,https://cpt.tcgcsv.com/gtJ,2023-09-18T16:59:10.403,1,16/90,Rare,Darkness,90,Stage 1,[1D] Shadow Bind (30) The Defending Pokemon can't retreat during your opponent's next turn.,0.25,0.43,9.09,0.46,,Normal,[2D] Vengeance (10+) Does 10 damage plus 10 more damage for each D Pokemon in your discard pile.,Lx2,F-20,2,
86162,Honchkrow (16),Honchkrow 16,https://tcgplayer-cdn.tcgplayer.com/product/86162_200w.jpg,3,1403,https://cpt.tcgcsv.com/gtJ,2023-09-18T16:59:10.403,1,16/90,Rare,Darkness,90,Stage 1,[1D] Shadow Bind (30) The Defending Pokemon can't retreat during your opponent's next turn.,0.99,1.66,3.0,2.84,,Reverse Holofoil,[2D] Vengeance (10+) Does 10 damage plus 10 more damage for each D Pokemon in your discard pile.,Lx2,F-20,2,
86209,Houndoom,Houndoom,https://tcgplayer-cdn.tcgplayer.com/product/86209_200w.jpg,3,1403,https://cpt.tcgcsv.com/cvJ,2025-12-11T03:47:40.85,1,5/90,Holo Rare,Darkness,90,Stage 1,"[D] Fire Counterattack (20+) If your opponent has any F Pokemon in play, this attack does 20 damage plus 60 more damage.",20.95,39.99,59.99,14.74,,Holofoil,[DD] Dark Roar (50) Your opponent discards a card from his or her hand.,Fx2,P-20,1,
86209,Houndoom,Houndoom,https://tcgplayer-cdn.tcgplayer.com/product/86209_200w.jpg,3,1403,https://cpt.tcgcsv.com/cvJ,2025-12-11T03:47:40.85,1,5/90,Holo Rare,Darkness,90,Stage 1,"[D] Fire Counterattack (20+) If your opponent has any F Pokemon in play, this attack does 20 damage plus 60 more damage.",27.99,31.49,34.99,39.75,,Reverse Holofoil,[DD] Dark Roar (50) Your opponent discards a card from his or her hand.,Fx2,P-20,1,
86210,Houndoom (Prime),Houndoom Prime,https://tcgplayer-cdn.tcgplayer.com/product/86210_200w.jpg,3,1403,https://cpt.tcgcsv.com/dvJ,2023-04-10T14:40:18.61,1,82/90,Ultra Rare,Darkness,110,Stage 1,[1DD] Dark Clamp (70) The Defending Pokemon can't retreat during your opponent's next turn.,95.99,127.49,300.0,151.96,,Holofoil,,Fx2,P-20,1,"Fire Breath - Once during your turn (before you attack), you may flip a coin.  If heads, the Defending Pokemon is now Burned.  This power can't be used if Houndoom is affected by a Special Condition.  (Poke-POWER)"
86230,Houndour (53),Houndour 53,https://tcgplayer-cdn.tcgplayer.com/product/86230_200w.jpg,3,1403,https://cpt.tcgcsv.com/DvJ,2023-05-31T10:54:16.187,1,53/90,Common,Darkness,50,Basic,[1D] Sharp Fang (30),0.2,0.41,2.21,0.52,,Normal,,Fx2,P-20,1,
