productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extAttack3,extUPC
84055,Burmy Sandy Cloak,Burmy Sandy Cloak,https://tcgplayer-cdn.tcgplayer.com/product/84055_200w.jpg,3,1391,https://cpt.tcgcsv.com/7FH,2024-10-18T12:41:13.91,1,57/99,Common,Grass,40,Basic,Cloak Evolution - Burmy Sandy Cloak can evolve during the turn you play it.  (Poke-BODY),[1F] Tackle (20),R+10,,1,0.17,0.5,5.0,0.61,,Normal,,,
84055,Burmy Sandy Cloak,Burmy Sandy Cloak,https://tcgplayer-cdn.tcgplayer.com/product/84055_200w.jpg,3,1391,https://cpt.tcgcsv.com/7FH,2024-10-18T12:41:13.91,1,57/99,Common,Grass,40,Basic,Cloak Evolution - Burmy Sandy Cloak can evolve during the turn you play it.  (Poke-BODY),[1F] Tackle (20),R+10,,1,5.41,10.2,14.99,5.15,,Reverse Holofoil,,,
84057,Burmy Trash Cloak,Burmy Trash Cloak,https://tcgplayer-cdn.tcgplayer.com/product/84057_200w.jpg,3,1391,https://cpt.tcgcsv.com/9FH,2025-11-11T21:03:05.537,1,58/99,Common,Grass,40,Basic,Cloak Evolution - Burmy Trash Cloak can evolve during the turn you play it.  (Poke-BODY),[1M] Tackle (20),R+10,,1,0.1,0.36,1.0,0.38,,Normal,,,
84057,Burmy Trash Cloak,Burmy Trash Cloak,https://tcgplayer-cdn.tcgplayer.com/product/84057_200w.jpg,3,1391,https://cpt.tcgcsv.com/9FH,2025-11-11T21:03:05.537,1,58/99,Common,Grass,40,Basic,Cloak Evolution - Burmy Trash Cloak can evolve during the turn you play it.  (Poke-BODY),[1M] Tackle (20),R+10,,1,0.79,1.19,4.02,1.47,,Reverse Holofoil,,,
84191,Charizard,Charizard,https://tcgplayer-cdn.tcgplayer.com/product/84191_200w.jpg,3,1391,https://cpt.tcgcsv.com/RHH,2024-03-04T08:19:23.497,1,1/99,Holo Rare,Fire,140,Stage 2,Fire Formation - Each of Charizard's attacks does 10 more damage for each R Pokemon on your Bench to your opponent's Active Pokemon (before applying Weakness and Resistance).  (Poke-BODY),[R] Fire Wing (30),W+30,F-20,3,28.0,39.8,79.74,54.24,,Holofoil,[1RR] Burning Tail (80) Discard a R Energy attached to Charizard.,,
84191,Charizard,Charizard,https://tcgplayer-cdn.tcgplayer.com/product/84191_200w.jpg,3,1391,https://cpt.tcgcsv.com/RHH,2024-03-04T08:19:23.497,1,1/99,Holo Rare,Fire,140,Stage 2,Fire Formation - Each of Charizard's attacks does 10 more damage for each R Pokemon on your Bench to your opponent's Active Pokemon (before applying Weakness and Resistance).  (Poke-BODY),[R] Fire Wing (30),W+30,F-20,3,32.14,45.0,58.24,52.49,,Reverse Holofoil,[1RR] Burning Tail (80) Discard a R Energy attached to Charizard.,,
84217,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/84217_200w.jpg,3,1391,https://cpt.tcgcsv.com/mJH,2023-11-14T21:44:14.343,1,59/99,Common,Fire,60,Basic,,"[1] Call for Friends - Search your deck for a R Basic Pokemon, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",W+10,,1,0.15,1.0,4.73,2.09,,Normal,[1R] Steady Firebreathing (20),,
84217,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/84217_200w.jpg,3,1391,https://cpt.tcgcsv.com/mJH,2023-11-14T21:44:14.343,1,59/99,Common,Fire,60,Basic,,"[1] Call for Friends - Search your deck for a R Basic Pokemon, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",W+10,,1,9.87,69.72,149.99,47.5,,Reverse Holofoil,[1R] Steady Firebreathing (20),,
84233,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/84233_200w.jpg,3,1391,https://cpt.tcgcsv.com/HJH,2023-11-14T21:40:07.517,1,35/99,Uncommon,Fire,80,Stage 1,,[2] Slam (30x) Flip 2 coins.  This attack does 30 damage times the number of heads.,W+20,,1,0.39,1.01,5.99,1.17,,Normal,[2R] Fire Punch (50),,
84233,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/84233_200w.jpg,3,1391,https://cpt.tcgcsv.com/HJH,2023-11-14T21:40:07.517,1,35/99,Uncommon,Fire,80,Stage 1,,[2] Slam (30x) Flip 2 coins.  This attack does 30 damage times the number of heads.,W+20,,1,5.2,14.47,25.0,13.85,,Reverse Holofoil,[2R] Fire Punch (50),,
