productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extCardType
84939,Dratini,Dratini,https://tcgplayer-cdn.tcgplayer.com/product/84939_200w.jpg,3,1382,https://cpt.tcgcsv.com/P-H,2023-01-10T16:11:26.827,1,81/116,Common,50,Basic,[G] Shed Skin - Heal 20 damage from this Pokemon.,[1L] Tail Smack (20),Ox2,,1,0.2,0.4,5.0,0.41,,Normal,,
84939,Dratini,Dratini,https://tcgplayer-cdn.tcgplayer.com/product/84939_200w.jpg,3,1382,https://cpt.tcgcsv.com/P-H,2023-01-10T16:11:26.827,1,81/116,Common,50,Basic,[G] Shed Skin - Heal 20 damage from this Pokemon.,[1L] Tail Smack (20),Ox2,,1,1.64,5.98,15.0,5.38,,Reverse Holofoil,,
85092,Eevee (89),Eevee 89,https://tcgplayer-cdn.tcgplayer.com/product/85092_200w.jpg,3,1382,https://cpt.tcgcsv.com/S2J,2025-12-04T05:35:55.467,1,89/116,Common,60,Basic,"[1] Growl - During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 20 (before applying Weakness and Resistance).","[2] Quick Attack (10+) Flip a coin.  If heads, this attack does 10 more damage.",Fx2,,1,0.1,0.75,4.39,0.91,,Normal,,
85092,Eevee (89),Eevee 89,https://tcgplayer-cdn.tcgplayer.com/product/85092_200w.jpg,3,1382,https://cpt.tcgcsv.com/S2J,2025-12-04T05:35:55.467,1,89/116,Common,60,Basic,"[1] Growl - During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 20 (before applying Weakness and Resistance).","[2] Quick Attack (10+) Flip a coin.  If heads, this attack does 10 more damage.",Fx2,,1,6.99,10.0,30.0,11.76,,Reverse Holofoil,,
85093,Eevee (90),Eevee 90,https://tcgplayer-cdn.tcgplayer.com/product/85093_200w.jpg,3,1382,https://cpt.tcgcsv.com/T2J,2023-01-10T16:12:47.16,1,90/116,Common,60,Basic,[1] Signs of Evolution - Search your deck for 3 Pokemon of different types that evolve from Eevee.  Reveal them and put them into your hand.  Shuffle your deck afterward.,[3] Bite (30),Fx2,,1,0.38,1.23,40.0,1.48,,Normal,,
85093,Eevee (90),Eevee 90,https://tcgplayer-cdn.tcgplayer.com/product/85093_200w.jpg,3,1382,https://cpt.tcgcsv.com/T2J,2023-01-10T16:12:47.16,1,90/116,Common,60,Basic,[1] Signs of Evolution - Search your deck for 3 Pokemon of different types that evolve from Eevee.  Reveal them and put them into your hand.  Shuffle your deck afterward.,[3] Bite (30),Fx2,,1,7.9,11.0,30.0,11.24,,Reverse Holofoil,,
85162,Electrode,Electrode,https://tcgplayer-cdn.tcgplayer.com/product/85162_200w.jpg,3,1382,https://cpt.tcgcsv.com/g5J,2023-01-10T15:59:12.913,1,33/116,Holo Rare,90,Stage 1,[2L] Electro Ball (60),,Fx2,,1,2.1,3.0,9.44,2.64,,Holofoil,"Magnetic Draw - Once during your turn (before your attack), you may draw cards until you have 4 cards in your hand.  (Ability)",
85162,Electrode,Electrode,https://tcgplayer-cdn.tcgplayer.com/product/85162_200w.jpg,3,1382,https://cpt.tcgcsv.com/g5J,2023-01-10T15:59:12.913,1,33/116,Holo Rare,90,Stage 1,[2L] Electro Ball (60),,Fx2,,1,2.58,4.51,7.0,3.61,,Reverse Holofoil,"Magnetic Draw - Once during your turn (before your attack), you may draw cards until you have 4 cards in your hand.  (Ability)",
85203,Empoleon (117 Secret Rare),Empoleon 117 Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/85203_200w.jpg,3,1382,https://cpt.tcgcsv.com/56J,2023-01-10T16:16:34.83,1,117/116,Secret Rare,140,Stage 2,[W] Attack Command (10x) Does 10 damage times the number of Pokemon in play (both yours and your opponent's).,,Lx2,,2,211.0,211.0,211.0,130.0,,Holofoil,"Diving Draw - Once during your turn (before your attack), you may discard a card from your hand.  If you do, draw 2 cards.  (Ability)",Water
85328,Espeon (Team Plasma),Espeon Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85328_200w.jpg,3,1382,https://cpt.tcgcsv.com/B8J,2025-12-04T04:02:01.04,1,48/116,Uncommon,90,Stage 1,[1] Psy Alert (20) Draw cards until you have 6 cards in your hand.,[P] Shadow Ball - This attack does 40 damage to 1 of your opponent's Pokemon.  Also apply Weakness and Resistance for Benched Pokemon.,Px2,,1,3.5,4.49,10.0,5.14,,Normal,,
85328,Espeon (Team Plasma),Espeon Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85328_200w.jpg,3,1382,https://cpt.tcgcsv.com/B8J,2025-12-04T04:02:01.04,1,48/116,Uncommon,90,Stage 1,[1] Psy Alert (20) Draw cards until you have 6 cards in your hand.,[P] Shadow Ball - This attack does 40 damage to 1 of your opponent's Pokemon.  Also apply Weakness and Resistance for Benched Pokemon.,Px2,,1,39.99,49.99,69.55,42.54,,Reverse Holofoil,,
85350,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/85350_200w.jpg,3,1382,https://cpt.tcgcsv.com/09J,2025-01-11T11:37:06.083,1,4/116,Uncommon,30,Basic,[1G] Seed Bomb (20),,Rx2,W-20,1,2.0,3.78,14.99,4.3,2.79,Normal,"Propagation - Once during your turn (before your attack), if this Pokemon is in your discard pile, you may put this Pokemon into your hand.  (Ability)",
85350,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/85350_200w.jpg,3,1382,https://cpt.tcgcsv.com/09J,2025-01-11T11:37:06.083,1,4/116,Uncommon,30,Basic,[1G] Seed Bomb (20),,Rx2,W-20,1,4.29,7.62,19.99,7.6,,Reverse Holofoil,"Propagation - Once during your turn (before your attack), if this Pokemon is in your discard pile, you may put this Pokemon into your hand.  (Ability)",
85363,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/85363_200w.jpg,3,1382,https://cpt.tcgcsv.com/h9J,2023-01-10T15:52:39.693,1,5/116,Rare,100,Stage 1,[1] Blockage (10) Your opponent can't play any Supporter cards from his or her hand during his or her next turn.,"[2G] Stomp (60+) Flip a coin.  If heads, this attack does 30 more damage.",Rx2,W-20,2,1.18,1.5,2.8,1.45,,Normal,,
85363,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/85363_200w.jpg,3,1382,https://cpt.tcgcsv.com/h9J,2023-01-10T15:52:39.693,1,5/116,Rare,100,Stage 1,[1] Blockage (10) Your opponent can't play any Supporter cards from his or her hand during his or her next turn.,"[2G] Stomp (60+) Flip a coin.  If heads, this attack does 30 more damage.",Rx2,W-20,2,4.99,8.0,15.0,5.38,,Reverse Holofoil,,
85502,Flareon (Team Plasma),Flareon Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85502_200w.jpg,3,1382,https://cpt.tcgcsv.com/3dJ,2025-12-04T05:37:03.31,1,12/116,Uncommon,100,Stage 1,[2] Vengeance (20+) Does 10 more damage for each Pokemon in your discard pile.,[2R] Heat Tackle (90) This Pokemon does 10 damage to itself.,Wx2,,2,2.0,3.95,9.99,4.01,,Normal,,
85502,Flareon (Team Plasma),Flareon Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85502_200w.jpg,3,1382,https://cpt.tcgcsv.com/3dJ,2025-12-04T05:37:03.31,1,12/116,Uncommon,100,Stage 1,[2] Vengeance (20+) Does 10 more damage for each Pokemon in your discard pile.,[2R] Heat Tackle (90) This Pokemon does 10 damage to itself.,Wx2,,2,29.0,47.38,60.0,21.25,,Reverse Holofoil,,
85510,Float Stone,Float Stone,https://tcgplayer-cdn.tcgplayer.com/product/85510_200w.jpg,3,1382,https://cpt.tcgcsv.com/ddJ,2024-12-08T17:15:26.133,1,99/116,Uncommon,0,Tool,The Pokemon this card is attached to has no Retreat Cost.,,,,,4.67,6.01,19.99,6.68,11.49,Normal,Attach a Pokemon Tool to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.,Item
85510,Float Stone,Float Stone,https://tcgplayer-cdn.tcgplayer.com/product/85510_200w.jpg,3,1382,https://cpt.tcgcsv.com/ddJ,2024-12-08T17:15:26.133,1,99/116,Uncommon,0,Tool,The Pokemon this card is attached to has no Retreat Cost.,,,,,7.51,9.41,30.0,9.59,,Reverse Holofoil,Attach a Pokemon Tool to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.,Item
