productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2
556913,Great Ball - Pikachu 29,Great Ball Pikachu 29,https://tcgplayer-cdn.tcgplayer.com/product/556913_200w.jpg,3,23520,https://cpt.tcgcsv.com/hNs6,2024-06-24T19:11:26.11,1,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.,,0.05,0.15,0.99,0.11,,Normal,Common,183/193,Item,,,,,,,
556914,Great Ball - Pikachu 38,Great Ball Pikachu 38,https://tcgplayer-cdn.tcgplayer.com/product/556914_200w.jpg,3,23520,https://cpt.tcgcsv.com/jNs6,2024-06-24T19:12:02.4,1,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.,,0.05,0.15,0.99,0.13,,Normal,Common,183/193,Item,,,,,,,
556915,Great Ball - Pikachu 49,Great Ball Pikachu 49,https://tcgplayer-cdn.tcgplayer.com/product/556915_200w.jpg,3,23520,https://cpt.tcgcsv.com/kNs6,2024-06-24T19:12:22.23,1,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.,,0.05,0.15,0.99,0.13,,Normal,Common,183/193,Item,,,,,,,
556916,Great Ball - Pikachu 57,Great Ball Pikachu 57,https://tcgplayer-cdn.tcgplayer.com/product/556916_200w.jpg,3,23520,https://cpt.tcgcsv.com/lNs6,2024-06-24T19:12:37.887,1,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.,,0.05,0.13,0.99,0.12,,Normal,Common,183/193,Item,,,,,,,
556917,Yveltal - Darkrai Deck,Yveltal Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556917_200w.jpg,3,23520,https://cpt.tcgcsv.com/mNs6,2024-06-24T19:15:45.833,1,,,0.12,0.24,1.99,0.19,,Normal,Rare,118/182,Darkness,130,Basic,"[2] Cross-Cut (30+)
<br>If your opponent's Active Pokémon is an Evolution Pokémon, this attack does 60 more damage.",Lx2,F-30,2,"[1DD] Dark Edge (120)
<br>Discard an Energy from this Pokémon."
556919,Jacq - Pikachu 51,Jacq Pikachu 51,https://tcgplayer-cdn.tcgplayer.com/product/556919_200w.jpg,3,23520,https://cpt.tcgcsv.com/pNs6,2024-06-24T19:42:17.133,1,"Search your deck for up to 2 Evolution Pokemon, reveal them, and put them into your hand. Then, shuffle your deck.",,0.25,0.54,4.74,0.53,,Normal,Uncommon,175/198,Supporter,,,,,,,
556920,Potion - Pikachu 15,Potion Pikachu 15,https://tcgplayer-cdn.tcgplayer.com/product/556920_200w.jpg,3,23520,https://cpt.tcgcsv.com/qNs6,2024-06-24T19:45:41.583,1,"Heal 30 damage from 1 of your Pokémon.
<br><br>You may play any number of Item cards during your turn.",,0.05,0.17,0.99,0.12,,Normal,Common,188/192,Trainer - Item,,,,,,,
556921,Potion - Pikachu 18,Potion Pikachu 18,https://tcgplayer-cdn.tcgplayer.com/product/556921_200w.jpg,3,23520,https://cpt.tcgcsv.com/rNs6,2024-06-24T19:46:12.153,1,"Heal 30 damage from 1 of your Pokémon.
<br><br>You may play any number of Item cards during your turn.",,0.05,0.15,0.99,0.14,,Normal,Common,188/192,Trainer - Item,,,,,,,
556922,Kilowattrel - Pikachu 40,Kilowattrel Pikachu 40,https://tcgplayer-cdn.tcgplayer.com/product/556922_200w.jpg,3,23520,https://cpt.tcgcsv.com/sNs6,2024-06-24T19:46:28.713,1,,,0.05,0.21,0.78,0.15,,Normal,Uncommon,082/193,Lightning,120,Stage 1,[C] Peck (20),Lx2,F-30,,"[C][C][C] Jet Wing (150) During your next turn, this Pokemon can't attack."
556923,Mareep - Pikachu 19,Mareep Pikachu 19,https://tcgplayer-cdn.tcgplayer.com/product/556923_200w.jpg,3,23520,https://cpt.tcgcsv.com/tNs6,2024-06-24T19:48:23.17,1,,,0.15,0.29,1.25,0.27,,Normal,Promo,107,Lightning,60,Basic,[L] Headbutt (10),Fx2,,1,[L][C] Lightning Ball (20)
556924,Mareep - Pikachu 41,Mareep Pikachu 41,https://tcgplayer-cdn.tcgplayer.com/product/556924_200w.jpg,3,23520,https://cpt.tcgcsv.com/vNs6,2024-06-24T19:48:48.63,1,,,0.15,0.29,1.0,0.27,,Normal,Promo,107,Lightning,60,Basic,[L] Headbutt (10),Fx2,,1,[L][C] Lightning Ball (20)
556925,Rotom - Pikachu 14,Rotom Pikachu 14,https://tcgplayer-cdn.tcgplayer.com/product/556925_200w.jpg,3,23520,https://cpt.tcgcsv.com/wNs6,2024-06-24T19:48:59.513,1,,,0.05,0.17,1.99,0.15,,Normal,Common,069/198,Lightning,60,Basic,"[1] Linear Attack
<br>This attack does 20 damage to 1 of your opponent's Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",Fx2,None,1,
556926,Mareep - Pikachu 45,Mareep Pikachu 45,https://tcgplayer-cdn.tcgplayer.com/product/556926_200w.jpg,3,23520,https://cpt.tcgcsv.com/xNs6,2024-06-24T19:49:04.047,1,,,0.15,0.33,1.1,0.3,,Normal,Promo,107,Lightning,60,Basic,[L] Headbutt (10),Fx2,,1,[L][C] Lightning Ball (20)
556927,Mareep - Pikachu 2,Mareep Pikachu 2,https://tcgplayer-cdn.tcgplayer.com/product/556927_200w.jpg,3,23520,https://cpt.tcgcsv.com/zNs6,2024-06-24T19:49:18.91,1,,,0.25,0.35,2.99,0.28,,Normal,Promo,107,Lightning,60,Basic,[L] Headbutt (10),Fx2,,1,[L][C] Lightning Ball (20)
556928,Switch - Pikachu 36,Switch Pikachu 36,https://tcgplayer-cdn.tcgplayer.com/product/556928_200w.jpg,3,23520,https://cpt.tcgcsv.com/BNs6,2024-06-24T19:50:46.95,1,"Switch your Active Pokémon with 1 of your Benched Pokémon.
<br><br>You may play any number of Item cards during your turn.",,0.05,0.16,0.99,0.13,,Normal,Common,194/198,Trainer - Item,,,,,,,
556929,Miraidon - Pikachu 23,Miraidon Pikachu 23,https://tcgplayer-cdn.tcgplayer.com/product/556929_200w.jpg,3,23520,https://cpt.tcgcsv.com/CNs6,2024-06-24T19:51:13.693,1,,,1.0,1.84,4.99,1.77,,Normal,Promo,148,Lightning,120,Basic,[L] Electric Claws (30),Fx2,,1,[L][L] Mach Bolt (60)
556930,Nemona - Pikachu 13,Nemona Pikachu 13,https://tcgplayer-cdn.tcgplayer.com/product/556930_200w.jpg,3,23520,https://cpt.tcgcsv.com/DNs6,2024-06-24T19:52:35.427,1,Draw 3 cards.,,0.05,0.15,0.99,0.13,,Normal,Common,180/198,Supporter,,,,,,,
556931,Switch - Pikachu 52,Switch Pikachu 52,https://tcgplayer-cdn.tcgplayer.com/product/556931_200w.jpg,3,23520,https://cpt.tcgcsv.com/FNs6,2024-06-24T19:52:35.593,1,"Switch your Active Pokémon with 1 of your Benched Pokémon.
<br><br>You may play any number of Item cards during your turn.",,0.05,0.17,0.99,0.12,,Normal,Common,194/198,Trainer - Item,,,,,,,
556932,Nemona - Pikachu 33,Nemona Pikachu 33,https://tcgplayer-cdn.tcgplayer.com/product/556932_200w.jpg,3,23520,https://cpt.tcgcsv.com/GNs6,2024-06-24T19:52:53.713,1,Draw 3 cards.,,0.05,0.17,0.99,0.11,,Normal,Common,180/198,Supporter,,,,,,,
556933,Nemona - Pikachu 42,Nemona Pikachu 42,https://tcgplayer-cdn.tcgplayer.com/product/556933_200w.jpg,3,23520,https://cpt.tcgcsv.com/HNs6,2024-06-24T19:53:12.15,1,Draw 3 cards.,,0.05,0.2,0.99,0.15,,Normal,Common,180/198,Supporter,,,,,,,
556934,Nemona - Pikachu 54,Nemona Pikachu 54,https://tcgplayer-cdn.tcgplayer.com/product/556934_200w.jpg,3,23520,https://cpt.tcgcsv.com/JNs6,2024-06-24T19:53:31.197,1,Draw 3 cards.,,0.05,0.16,0.99,0.13,,Normal,Common,180/198,Supporter,,,,,,,
556935,Picnicker - Pikachu 26,Picnicker Pikachu 26,https://tcgplayer-cdn.tcgplayer.com/product/556935_200w.jpg,3,23520,https://cpt.tcgcsv.com/KNs6,2024-06-24T19:54:39.23,1,"Flip a coin. If heads, draw 4 cards. If tails, draw 2 cards.",,0.1,0.24,2.49,0.23,,Normal,Promo,114,Supporter,,,,,,,
556936,Picnicker - Pikachu 46,Picnicker Pikachu 46,https://tcgplayer-cdn.tcgplayer.com/product/556936_200w.jpg,3,23520,https://cpt.tcgcsv.com/LNs6,2024-06-24T19:55:01.423,1,"Flip a coin. If heads, draw 4 cards. If tails, draw 2 cards.",,0.05,0.24,2.49,0.19,,Normal,Promo,114,Supporter,,,,,,,
556937,Voltorb - Pikachu 1,Voltorb Pikachu 1,https://tcgplayer-cdn.tcgplayer.com/product/556937_200w.jpg,3,23520,https://cpt.tcgcsv.com/MNs6,2024-06-24T19:59:27.32,1,,,0.05,0.19,1.99,0.17,,Normal,Common,066/193,Lightning,70,Basic,[L] Lightning Ball (10),Fx2,None,1,[2] Rollout (20)
556938,Nest Ball - Pikachu 44,Nest Ball Pikachu 44,https://tcgplayer-cdn.tcgplayer.com/product/556938_200w.jpg,3,23520,https://cpt.tcgcsv.com/NNs6,2024-06-24T19:56:08.587,1,"Search your deck for a Basic Pokemon and put it onto your Bench. Then, shuffle your deck.",,0.25,0.55,1.88,0.55,,Normal,Uncommon,181/198,Item,,,,,,,
556939,Voltorb - Pikachu 30,Voltorb Pikachu 30,https://tcgplayer-cdn.tcgplayer.com/product/556939_200w.jpg,3,23520,https://cpt.tcgcsv.com/PNs6,2024-06-24T19:59:31.41,1,,,0.05,0.16,1.99,0.13,,Normal,Common,066/193,Lightning,70,Basic,[L] Lightning Ball (10),Fx2,None,1,[2] Rollout (20)
556940,Voltorb - Pikachu 34,Voltorb Pikachu 34,https://tcgplayer-cdn.tcgplayer.com/product/556940_200w.jpg,3,23520,https://cpt.tcgcsv.com/QNs6,2024-06-24T19:59:36.357,1,,,0.05,0.15,0.35,0.15,,Normal,Common,066/193,Lightning,70,Basic,[L] Lightning Ball (10),Fx2,None,1,[2] Rollout (20)
556941,Voltorb - Pikachu 55,Voltorb Pikachu 55,https://tcgplayer-cdn.tcgplayer.com/product/556941_200w.jpg,3,23520,https://cpt.tcgcsv.com/RNs6,2024-06-24T19:59:45.277,1,,,0.05,0.16,1.99,0.16,,Normal,Common,066/193,Lightning,70,Basic,[L] Lightning Ball (10),Fx2,None,1,[2] Rollout (20)
556942,Wattrel - Pikachu 17,Wattrel Pikachu 17,https://tcgplayer-cdn.tcgplayer.com/product/556942_200w.jpg,3,23520,https://cpt.tcgcsv.com/SNs6,2024-06-24T20:01:26.9,1,,,0.05,0.16,1.99,0.12,,Normal,Common,077/193,Lightning,50,Basic,"[1] Collect
<br>Draw a card.",Lx2,F-30,1,[1L] Glide (20)
556943,Wattrel - Pikachu 58,Wattrel Pikachu 58,https://tcgplayer-cdn.tcgplayer.com/product/556943_200w.jpg,3,23520,https://cpt.tcgcsv.com/TNs6,2024-06-24T20:01:52.413,1,,,0.05,0.16,1.99,0.09,,Normal,Common,077/193,Lightning,50,Basic,"[1] Collect
<br>Draw a card.",Lx2,F-30,1,[1L] Glide (20)
556944,Youngster - Pikachu 21,Youngster Pikachu 21,https://tcgplayer-cdn.tcgplayer.com/product/556944_200w.jpg,3,23520,https://cpt.tcgcsv.com/VNs6,2024-06-24T20:02:55.053,1,"Shuffle your hand into your deck. Then, draw 5 cards.
<br><br>You may play only 1 Supporter card during your turn.",,0.05,0.18,0.99,0.1,,Normal,Uncommon,198/198,Trainer - Supporter,,,,,,,
