productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extCardText
88349,Potion,Potion,https://tcgplayer-cdn.tcgplayer.com/product/88349_200w.jpg,3,1522,https://cpt.tcgcsv.com/_lK,2022-12-14T16:18:40.523,1,37/39,Common,Item,,,,,,,0.01,0.2,1.54,0.2,,Normal,,"You may play as many Item cards as you like during your turn <em>(before your attack).</em>
<br>
<br>
Heal 30 damage from 1 of your Pokemon."
88490,Quilladin,Quilladin,https://tcgplayer-cdn.tcgplayer.com/product/88490_200w.jpg,3,1522,https://cpt.tcgcsv.com/QpK,2022-12-14T16:12:47.927,1,4/39,Common,Grass,90,Stage 1,"[1G] Leech Seed (20) 
<br>Heal 10 damage from this Pokemon.",Rx2,None,2,0.42,0.8,1.96,0.98,,Normal,[2G] Needle Arm (50),
88490,Quilladin,Quilladin,https://tcgplayer-cdn.tcgplayer.com/product/88490_200w.jpg,3,1522,https://cpt.tcgcsv.com/QpK,2022-12-14T16:12:47.927,1,4/39,Common,Grass,90,Stage 1,"[1G] Leech Seed (20) 
<br>Heal 10 damage from this Pokemon.",Rx2,None,2,1.17,2.5,39.84,1.85,,Holofoil,[2G] Needle Arm (50),
89272,Skitty,Skitty,https://tcgplayer-cdn.tcgplayer.com/product/89272_200w.jpg,3,1522,https://cpt.tcgcsv.com/sKK,2022-12-14T16:17:39.147,1,28/39,Common,Colorless,60,Basic,"[2] Jump On (20+) 
<br>Flip a coin.  If heads, this attack does 20 more damage.",Fx2,None,1,3.67,4.48,11.16,6.88,,Normal,,
89348,Slugma,Slugma,https://tcgplayer-cdn.tcgplayer.com/product/89348_200w.jpg,3,1522,https://cpt.tcgcsv.com/-LK,2022-12-14T16:13:02.357,1,6/39,Common,Fire,80,Basic,[1R] Combustion (20),Wx2,None,2,0.22,0.5,5.0,1.14,,Normal,,
89394,Snorlax,Snorlax,https://tcgplayer-cdn.tcgplayer.com/product/89394_200w.jpg,3,1522,https://cpt.tcgcsv.com/VMK,2022-12-14T16:17:27.887,1,26/39,Common,Colorless,120,Basic,"[3] Rock Smash (10+) 
<br>Flip a coin.  If heads, this attack does 30 more damage.",Fx2,None,4,19.99,22.0,33.45,36.0,,Normal,[4] Strength (70),
89418,Snubbull,Snubbull,https://tcgplayer-cdn.tcgplayer.com/product/89418_200w.jpg,3,1522,https://cpt.tcgcsv.com/nNK,2022-12-14T16:17:04.357,1,22/39,Common,Fairy,70,Basic,[1Y] Headbutt (20),Mx2,D-20,2,0.15,0.37,1.05,0.53,,Normal,,
89708,Swirlix,Swirlix,https://tcgplayer-cdn.tcgplayer.com/product/89708_200w.jpg,3,1522,https://cpt.tcgcsv.com/bVK,2022-12-14T16:17:15.727,1,24/39,Common,Fairy,60,Basic,"[Y] Draining Kiss (10) 
<br>Heal 10 damage from this Pokemon.",Mx2,D-20,1,0.34,0.75,5.0,1.35,,Normal,,
89723,Switch,Switch,https://tcgplayer-cdn.tcgplayer.com/product/89723_200w.jpg,3,1522,https://cpt.tcgcsv.com/tVK,2022-12-14T16:18:46.003,1,38/39,Common,Item,,,,,,,0.05,0.2,19.0,0.21,,Normal,,"You may play as many Item cards as you like during your turn <em>(before your attack).</em>
<br>
<br>
Switch your Active Pokemon with 1 of your Benched Pokemon."
89911,Tierno,Tierno,https://tcgplayer-cdn.tcgplayer.com/product/89911_200w.jpg,3,1522,https://cpt.tcgcsv.com/f-K,2022-12-14T16:18:51.623,1,39/39,Common,Supporter,,,,,,,0.02,0.19,2.0,0.16,,Normal,,"You may play only 1 Supporter card during your turn <em>(before your attack).</em>
<br>
<br>
Draw 3 cards."
90529,Water Energy,Water Energy,https://tcgplayer-cdn.tcgplayer.com/product/90529_200w.jpg,3,1522,https://cpt.tcgcsv.com/CdL,2015-04-03T12:49:08.14,1,,Common,Basic Energy,,,,,,,0.19,0.23,0.79,0.21,,Normal,,
90549,Weedle,Weedle,https://tcgplayer-cdn.tcgplayer.com/product/90549_200w.jpg,3,1522,https://cpt.tcgcsv.com/_dL,2022-12-14T16:12:07.643,1,1/39,Common,Grass,50,Basic,"[G] String Shot (10)
<br> Flip a coin.  If heads, your opponent's Active Pokemon is now Paralyzed.",Rx2,None,1,0.47,0.69,2.41,1.41,,Normal,,
97716,Kalos Starter Deck [Chespin],Kalos Starter Deck Chespin,https://tcgplayer-cdn.tcgplayer.com/product/97716_200w.jpg,3,1522,https://cpt.tcgcsv.com/l6P,2015-04-03T12:52:01.23,1,,,,,,,,,,,,,,,,,"Features the Kalos starter Pokemon, Chespin! Includes damage counters, a custom coin, a Chespin deckbox and a code for the Pokemon Trading Card Game Online."
97717,Kalos Starter Deck [Fennekin],Kalos Starter Deck Fennekin,https://tcgplayer-cdn.tcgplayer.com/product/97717_200w.jpg,3,1522,https://cpt.tcgcsv.com/m6P,2015-04-03T12:52:22.697,1,,,,,,,,,,,,,,,,,"Features the Kalos starter Pokemon, Fennekin! Includes damage counters, a custom coin, a Fennekin deckbox and a code for the Pokemon Trading Card Game Online."
97718,Kalos Starter Deck [Froakie],Kalos Starter Deck Froakie,https://tcgplayer-cdn.tcgplayer.com/product/97718_200w.jpg,3,1522,https://cpt.tcgcsv.com/n6P,2015-04-03T12:52:37.247,1,,,,,,,,,,,,,,,,,"Features the Kalos starter Pokemon, Froakie! Includes damage counters, a custom coin, a Froakie deckbox and a code for the Pokemon Trading Card Game Online."
97719,Deluxe Kalos Starter Deck [Froakie],Deluxe Kalos Starter Deck Froakie,https://tcgplayer-cdn.tcgplayer.com/product/97719_200w.jpg,3,1522,https://cpt.tcgcsv.com/p6P,2015-04-06T12:51:46.127,1,,,,,,,,,,,,,,,,,"Features the Kalos starter Pokemon, Froakie! Includes damage counters, a custom coin, a Froakie deckbox and a code for the Pokemon Trading Card Game Online and a booster pack from the Black & White Series!"
97720,Deluxe Kalos Starter Deck [Fennekin],Deluxe Kalos Starter Deck Fennekin,https://tcgplayer-cdn.tcgplayer.com/product/97720_200w.jpg,3,1522,https://cpt.tcgcsv.com/q6P,2015-04-03T12:51:36.13,1,,,,,,,,,,,,,,,,,"Features the Kalos starter Pokemon, Fennekin! Includes damage counters, a custom coin, a Fennekin deckbox and a code for the Pokemon Trading Card Game Online and a booster pack from the Black & White Series!"
97721,Deluxe Kalos Starter Deck [Chespin],Deluxe Kalos Starter Deck Chespin,https://tcgplayer-cdn.tcgplayer.com/product/97721_200w.jpg,3,1522,https://cpt.tcgcsv.com/r6P,2015-04-03T12:51:16.513,1,,,,,,,,,,,,,,,,,"Features the Kalos starter Pokemon, Chespin! Includes damage counters, a custom coin, a Chespin deckbox and a code for the Pokemon Trading Card Game Online and a booster pack from the Black & White Series!"
